id,src,pmid,pmcid,doi,epmc_id
1,epmc,36061537,PMC9433720,10.3389/fcvm.2022.907665,36061537
2,epmc,36233204,PMC9569903,10.3390/ijms231911902,36233204
3,epmc,35713363,PMC9225740,10.1080/0886022x.2022.2081579,35713363
4,epmc,35903646,PMC9316482,10.2147/ijgm.s371707,35903646
5,epmc,35576218,PMC9109932,10.1371/journal.pone.0268159,35576218
6,epmc,36110430,PMC9468260,10.3389/fnagi.2022.901972,36110430
7,epmc,35599774,PMC9120845,10.3389/fpsyt.2022.822382,35599774
8,epmc,36185204,PMC9523251,10.3389/fonc.2022.776834,36185204
9,epmc,35387615,PMC8985251,10.1186/s12864-022-08504-w,35387615
10,epmc,36008469,PMC9411158,10.1038/s42003-022-03816-9,36008469
11,epmc,35563878,PMC9105661,10.3390/cells11091564,35563878
12,epmc,35447967,PMC9029312,10.3390/brainsci12040434,35447967
13,epmc,35328027,PMC8953707,10.3390/genes13030473,35328027
14,epmc,34831151,PMC8616258,10.3390/cells10112929,34831151
15,epmc,35402106,PMC8988936,10.7717/peerj.13061,35402106
16,epmc,35406747,PMC8997660,10.3390/cells11071183,35406747
17,epmc,35889336,PMC9317794,10.3390/molecules27144463,35889336
18,epmc,34943202,PMC8698300,10.3390/biology10121287,34943202
19,epmc,34753514,PMC8579680,10.1186/s40246-021-00366-9,34753514
20,epmc,34829993,PMC8619767,10.3390/ijms222212108,34829993
21,epmc,35590258,PMC9118755,10.1186/s12859-022-04715-w,35590258
22,epmc,35457105,PMC9025225,10.3390/ijms23084288,35457105
23,epmc,34289807,PMC8296689,10.1186/s12859-021-04173-w,34289807
24,epmc,35453484,PMC9025015,10.3390/biomedicines10040734,35453484
25,epmc,35380657,PMC8982048,10.1093/genetics/iyac005,35380657
26,epmc,35529440,PMC9068950,10.3389/fphar.2022.877806,35529440
27,epmc,36225644,PMC9548019,NA,36225644
28,epmc,33613767,PMC7890315,10.7150/jca.51551,33613767
29,epmc,34026820,PMC8138129,10.3389/fmolb.2021.617016,34026820
30,epmc,36035123,PMC9403316,10.3389/fgene.2022.956781,36035123
31,epmc,NA,NA,10.20944/preprints202109.0201.v1,PPR394222
32,epmc,32973862,PMC7469919,10.3389/fgene.2020.00695,32973862
33,epmc,34373890,PMC8574978,10.1093/bib/bbab270,34373890
34,epmc,34197603,PMC8373148,10.1093/nar/gkab556,34197603
35,epmc,33956862,PMC8101720,10.1371/journal.pone.0250660,33956862
36,epmc,34663204,PMC8522253,10.1186/s12859-021-04402-2,34663204
37,epmc,35924984,PMC9477531,10.1093/bioinformatics/btac541,35924984
38,epmc,35976660,PMC9538419,10.1002/eji.202249804,35976660
39,epmc,35675043,PMC9217709,10.18632/aging.204112,35675043
40,epmc,35454109,PMC9028073,10.3390/biom12040520,35454109
41,epmc,34394377,PMC8360715,10.1155/2021/1353674,34394377
42,epmc,35013714,PMC8733431,10.1007/s41109-021-00435-x,35013714
43,epmc,34724143,PMC8669056,10.1007/s10278-021-00527-1,34724143
44,epmc,34237135,PMC8574625,10.1093/bib/bbab141,34237135
45,epmc,33371142,PMC7748316,10.1097/md.0000000000023768,33371142
46,epmc,34103016,PMC8185931,10.1186/s12859-021-04231-3,34103016
47,epmc,34988225,PMC8720586,10.1155/2021/3654660,34988225
48,epmc,34998242,PMC8733122,10.1016/j.ebiom.2021.103807,34998242
49,epmc,32579259,PMC7765463,10.1002/em.22396,32579259
50,epmc,32614449,PMC7364483,10.1042/bsr20194041,32614449
51,epmc,33845909,PMC8042947,10.1186/s13326-021-00241-5,33845909
52,epmc,31931870,PMC6958746,10.1186/s13326-019-0218-0,31931870
53,epmc,33407110,PMC7785925,10.1186/s12864-020-07300-8,33407110
54,epmc,34015823,PMC8195003,10.1093/bib/bbab191,34015823
55,epmc,33623880,PMC7881431,10.14744/nci.2020.12129,33623880
56,epmc,34986596,PMC8728143,10.1093/nar/gkab1086,34986596
57,epmc,34253812,PMC8275784,10.1038/s41598-021-93809-1,34253812
58,epmc,31760947,PMC6876110,10.1186/s12859-019-3127-4,31760947
59,epmc,32246132,PMC7127986,10.1038/s41588-020-0603-8,32246132
60,epmc,33209251,PMC7643205,10.1039/c9sc03414e,33209251
61,epmc,34055926,PMC8163519,10.3389/fcvm.2021.631650,34055926
62,epmc,31681758,PMC6803390,10.3389/fcell.2019.00222,31681758
63,epmc,NA,NA,10.1101/2022.04.18.488660,PPR484208
64,epmc,NA,NA,NA,PPR343119
65,epmc,35758779,PMC9235496,10.1093/bioinformatics/btac240,35758779
66,epmc,32693820,PMC7374976,10.1186/s13148-020-00888-4,32693820
67,epmc,36080270,PMC9457917,10.3390/molecules27175502,36080270
68,epmc,31787106,PMC6886169,10.1186/s12859-019-3081-1,31787106
69,epmc,31572444,PMC6751509,10.3389/fgene.2019.00832,31572444
70,epmc,35021991,PMC8756622,10.1186/s12859-021-04530-9,35021991
71,epmc,33574831,PMC7870792,10.3389/fgene.2020.613744,33574831
72,epmc,35346379,PMC8962212,10.1186/s13326-022-00266-4,35346379
73,epmc,34463284,PMC8572689,10.1684/ejd.2021.4107,34463284
74,epmc,34048547,PMC8163238,10.1093/database/baab031,34048547
75,epmc,31138117,PMC6538554,10.1186/s12859-019-2810-9,31138117
